row,column,X,Y,Z,TotalSub,TotalResist,SoilThrust,TrafFlag,TractionForce,maxAcc,Horizontal_Distance,Elevation_Difference,Slope,StepElevationDifference,Roughness
62,12,12,1,2995.140754989994,0,0,0,1,0,1.752468,0,0,0,0,0
63,13,13,1,2995.217567825685,0,0,0,1,0,1.051294,0,0,0,0,0
64,14,14,1,2995.0934483489227,0,0,0,1,0,1.492535,0,0,0,0,0
65,15,15,1,2995.1568798810476,0,0,0,1,0,1.442107,0,0,0,0,0
66,16,16,1,2995.259311605123,0,0,0,1,0,1.334401,0,0,0,0,0
67,17,17,1,2995.2360194031426,0,0,0,1,0,1.394572,0,0,0,0,0
68,18,18,1,2995.276029511019,0,0,0,1,0,1.529941,0,0,0,0,0
69,19,19,1,2995.090986404646,0,0,0,0,0,0.0,0,0,0,0,0
70,20,20,1,2994.880214440482,0,0,0,0,0,0.0,0,0,0,0,0
71,21,21,1,2994.729186057078,0,0,0,1,0,1.161367,0,0,0,0,0
72,22,22,1,2994.766363740288,0,0,0,1,0,1.571996,0,0,0,0,0
73,23,23,1,2994.7366326411743,0,0,0,1,0,1.805432,0,0,0,0,0
74,24,24,1,2994.7248955666737,0,0,0,1,0,1.760161,0,0,0,0,0
75,25,25,1,2994.6454673357694,0,0,0,1,0,1.1539,0,0,0,0,0
76,26,26,1,2994.6608660774623,0,0,0,1,0,1.149249,0,0,0,0,0
77,27,27,1,2994.8873807828268,0,0,0,1,0,1.268174,0,0,0,0,0
78,28,28,1,2994.9555124988765,0,0,0,1,0,1.361075,0,0,0,0,0
79,29,29,1,2995.2343692779814,0,0,0,1,0,1.408456,0,0,0,0,0
80,30,30,1,2995.4356413667097,0,0,0,1,0,1.679697,0,0,0,0,0
81,31,31,1,2995.3610590933085,0,0,0,1,0,1.05668,0,0,0,0,0
82,32,32,1,2995.075817838704,0,0,0,1,0,1.034673,0,0,0,0,0
83,33,33,1,2994.757224301121,0,0,0,1,0,1.391911,0,0,0,0,0
84,34,34,1,2994.6888474582493,0,0,0,1,0,1.697164,0,0,0,0,0
85,35,35,1,2994.690187704485,0,0,0,1,0,1.193435,0,0,0,0,0
86,36,36,1,2994.6994305595035,0,0,0,1,0,1.641504,0,0,0,0,0
87,37,37,1,2994.9911883939044,0,0,0,1,0,1.259828,0,0,0,0,0
88,38,38,1,2995.151869608543,0,0,0,1,0,1.886086,0,0,0,0,0
89,39,39,1,2994.9677182688783,0,0,0,1,0,1.89569,0,0,0,0,0
90,40,40,1,2994.774472814928,0,0,0,1,0,1.297287,0,0,0,0,0
91,41,41,1,2994.943492790667,0,0,0,1,0,1.229994,0,0,0,0,0
92,42,42,1,2994.941186284705,0,0,0,1,0,1.411304,0,0,0,0,0
93,43,43,1,2995.090346161377,0,0,0,1,0,1.240532,0,0,0,0,0
94,44,44,1,2995.107698582788,0,0,0,1,0,1.672384,0,0,0,0,0
95,45,45,1,2995.4269810962464,0,0,0,1,0,1.826065,0,0,0,0,0
96,46,46,1,2995.174744492529,0,0,0,1,0,1.673092,0,0,0,0,0
97,47,47,1,2994.8894913443937,0,0,0,1,0,1.82435,0,0,0,0,0
98,48,48,1,2994.9305557252105,0,0,0,1,0,1.396992,0,0,0,0,0
99,49,49,1,2994.99596237974,0,0,0,1,0,1.156317,0,0,0,0,0
100,0,0,2,2994.867081146899,0,0,0,0,0,0.0,0,0,0,0,0
101,1,1,2,2994.85399138699,0,0,0,0,0,0.0,0,0,0,0,0
102,2,2,2,2995.0813708493547,0,0,0,0,0,0.0,0,0,0,0,0
103,3,3,2,2995.0440156683153,0,0,0,1,0,1.737951,0,0,0,0,0
104,4,4,2,2995.059658581108,0,0,0,1,0,1.360475,0,0,0,0,0
105,5,5,2,2995.060552390521,0,0,0,1,0,1.671271,0,0,0,0,0
106,6,6,2,2995.06504090037,0,0,0,0,0,0.0,0,0,0,0,0
107,7,7,2,2995.082867646978,0,0,0,0,0,0.0,0,0,0,0,0
108,8,8,2,2994.855833793123,0,0,0,0,0,0.0,0,0,0,0,0
109,9,9,2,2994.812244629587,0,0,0,0,0,0.0,0,0,0,0,0
110,10,10,2,2994.6694158594505,0,0,0,1,0,1.270644,0,0,0,0,0
111,11,11,2,2994.6657908513344,0,0,0,1,0,1.08123,0,0,0,0,0
112,12,12,2,2994.776639134982,0,0,0,1,0,1.992582,0,0,0,0,0
113,13,13,2,2994.8009337487815,0,0,0,1,0,1.156202,0,0,0,0,0
114,14,14,2,2994.8145621673366,0,0,0,1,0,1.988421,0,0,0,0,0
115,15,15,2,2994.8686524834616,0,0,0,1,0,1.97728,0,0,0,0,0
116,16,16,2,2994.9253305227808,0,0,0,1,0,1.793818,0,0,0,0,0
117,17,17,2,2994.862331781171,0,0,0,1,0,1.659423,0,0,0,0,0
118,18,18,2,2995.0919449913986,0,0,0,1,0,1.577807,0,0,0,0,0
119,19,19,2,2995.1690467320877,0,0,0,1,0,1.866102,0,0,0,0,0
120,20,20,2,2995.33409695567,0,0,0,1,0,1.28944,0,0,0,0,0
121,21,21,2,2995.4322277183715,0,0,0,1,0,1.467681,0,0,0,0,0
122,22,22,2,2995.1973542828837,0,0,0,1,0,1.61939,0,0,0,0,0
123,23,23,2,2995.085115414962,0,0,0,1,0,1.41119,0,0,0,0,0
124,24,24,2,2995.115275751133,0,0,0,1,0,1.427486,0,0,0,0,0
125,25,25,2,2995.031105000445,0,0,0,1,0,1.330285,0,0,0,0,0
126,26,26,2,2995.16063473605,0,0,0,1,0,1.564232,0,0,0,0,0
127,27,27,2,2995.2739142982746,0,0,0,1,0,1.850575,0,0,0,0,0
128,28,28,2,2995.3581362507293,0,0,0,1,0,1.201528,0,0,0,0,0
129,29,29,2,2995.4530300575916,0,0,0,1,0,1.934433,0,0,0,0,0
130,30,30,2,2995.3882294186415,0,0,0,1,0,1.689088,0,0,0,0,0
131,31,31,2,2995.2736433078762,0,0,0,1,0,1.823273,0,0,0,0,0
132,32,32,2,2995.2277019326216,0,0,0,1,0,1.556191,0,0,0,0,0
133,33,33,2,2995.26066980323,0,0,0,1,0,1.779517,0,0,0,0,0
134,34,34,2,2995.2273426627376,0,0,0,1,0,1.0162,0,0,0,0,0
135,35,35,2,2995.049439433385,0,0,0,1,0,1.81838,0,0,0,0,0
136,36,36,2,2994.938799341421,0,0,0,1,0,1.040139,0,0,0,0,0
137,37,37,2,2995.0578926619173,0,0,0,1,0,1.889913,0,0,0,0,0
138,38,38,2,2994.6869870531414,0,0,0,1,0,1.991963,0,0,0,0,0
139,39,39,2,2994.4296002644487,0,0,0,1,0,1.294067,0,0,0,0,0
140,40,40,2,2994.5920712192615,0,0,0,1,0,1.210319,0,0,0,0,0
141,41,41,2,2994.5944985288393,0,0,0,1,0,1.765363,0,0,0,0,0
142,42,42,2,2994.5204921985487,0,0,0,1,0,1.253026,0,0,0,0,0
143,43,43,2,2994.603036211381,0,0,0,1,0,1.865562,0,0,0,0,0
144,44,44,2,2994.6593696336304,0,0,0,1,0,1.102843,0,0,0,0,0
145,45,45,2,2994.7550172806114,0,0,0,1,0,1.125955,0,0,0,0,0
146,46,46,2,2994.827769655242,0,0,0,1,0,1.979152,0,0,0,0,0
147,47,47,2,2994.732511896528,0,0,0,1,0,1.673839,0,0,0,0,0
148,48,48,2,2994.75527034308,0,0,0,1,0,1.846887,0,0,0,0,0
149,49,49,2,2994.926106407368,0,0,0,1,0,1.324329,0,0,0,0,0
150,0,0,3,2994.679340803885,0,0,0,0,0,0.0,0,0,0,0,0
151,1,1,3,2994.5324935610847,0,0,0,0,0,0.0,0,0,0,0,0
152,2,2,3,2994.481730118228,0,0,0,0,0,0.0,0,0,0,0,0
153,3,3,3,2994.678821280809,0,0,0,1,0,1.676484,0,0,0,0,0
154,4,4,3,2994.743061811029,0,0,0,1,0,1.594242,0,0,0,0,0
155,5,5,3,2995.015495244472,0,0,0,1,0,1.60315,0,0,0,0,0
156,6,6,3,2995.2430441781553,0,0,0,0,0,0.0,0,0,0,0,0
157,7,7,3,2995.4815001059806,0,0,0,0,0,0.0,0,0,0,0,0
158,8,8,3,2995.347369939046,0,0,0,0,0,0.0,0,0,0,0,0
159,9,9,3,2995.303317511164,0,0,0,0,0,0.0,0,0,0,0,0
160,10,10,3,2995.0173369603276,0,0,0,1,0,0.8,0,0,0,0,0
161,11,11,3,2994.979392592,0,0,0,1,0,1.575359,0,0,0,0,0
162,12,12,3,2995.022789504747,0,0,0,1,0,1.429062,0,0,0,0,0
163,13,13,3,2995.0321360827497,0,0,0,1,0,1.275923,0,0,0,0,0
164,14,14,3,2994.918230148717,0,0,0,1,0,1.768581,0,0,0,0,0
165,15,15,3,2995.0138562207226,0,0,0,1,0,1.226272,0,0,0,0,0
166,16,16,3,2995.0223912717247,0,0,0,1,0,1.692354,0,0,0,0,0
167,17,17,3,2994.988360668962,0,0,0,1,0,1.233333,0,0,0,0,0
168,18,18,3,2995.136604364753,0,0,0,1,0,1.62533,0,0,0,0,0
169,19,19,3,2995.130532666367,0,0,0,1,0,1.747078,0,0,0,0,0
170,20,20,3,2995.3274708954004,0,0,0,1,0,1.218714,0,0,0,0,0
171,21,21,3,2995.2948924050115,0,0,0,1,0,1.059943,0,0,0,0,0
172,22,22,3,2995.370906521831,0,0,0,1,0,1.130974,0,0,0,0,0
173,23,23,3,2995.233644325204,0,0,0,1,0,1.605997,0,0,0,0,0
174,24,24,3,2995.3037626235787,0,0,0,0,0,0.0,0,0,0,0,0
175,25,25,3,2995.2270045332007,0,0,0,1,0,1.849446,0,0,0,0,0
176,26,26,3,2995.3021883455817,0,0,0,1,0,1.044997,0,0,0,0,0
177,27,27,3,2995.3349299408424,0,0,0,1,0,1.734151,0,0,0,0,0
178,28,28,3,2995.1532304392103,0,0,0,0,0,0.0,0,0,0,0,0
179,29,29,3,2994.9675523488077,0,0,0,1,0,1.341319,0,0,0,0,0
180,30,30,3,2995.1114216511937,0,0,0,1,0,1.478528,0,0,0,0,0
181,31,31,3,2995.0236457593446,0,0,0,1,0,1.92886,0,0,0,0,0
182,32,32,3,2994.8837307736394,0,0,0,1,0,1.331972,0,0,0,0,0
183,33,33,3,2995.0472748725915,0,0,0,1,0,1.465337,0,0,0,0,0
184,34,34,3,2995.0633640126775,0,0,0,1,0,1.013682,0,0,0,0,0
185,35,35,3,2994.9955796290824,0,0,0,1,0,1.081599,0,0,0,0,0
186,36,36,3,2995.0825192369107,0,0,0,1,0,1.258592,0,0,0,0,0
187,37,37,3,2994.961239359681,0,0,0,1,0,1.027852,0,0,0,0,0
188,38,38,3,2994.8907656171345,0,0,0,1,0,1.631375,0,0,0,0,0
189,39,39,3,2995.1884391884537,0,0,0,1,0,1.426398,0,0,0,0,0
190,40,40,3,2994.9101463401826,0,0,0,1,0,1.548145,0,0,0,0,0
191,41,41,3,2994.96369854149,0,0,0,1,0,1.174647,0,0,0,0,0
192,42,42,3,2994.9416818888512,0,0,0,1,0,1.295932,0,0,0,0,0
193,43,43,3,2995.056380089862,0,0,0,1,0,1.663824,0,0,0,0,0
194,44,44,3,2995.0956412091004,0,0,0,1,0,1.965303,0,0,0,0,0
195,45,45,3,2995.337947306619,0,0,0,1,0,1.050417,0,0,0,0,0
196,46,46,3,2995.151277172263,0,0,0,1,0,1.890384,0,0,0,0,0
197,47,47,3,2995.3244261798664,0,0,0,1,0,1.576881,0,0,0,0,0
198,48,48,3,2995.224824135291,0,0,0,1,0,1.56392,0,0,0,0,0
199,49,49,3,2994.9613298302297,0,0,0,1,0,1.500279,0,0,0,0,0
200,0,0,4,2995.088754140789,0,0,0,0,0,0.0,0,0,0,0,0
201,1,1,4,2995.2232983082745,0,0,0,0,0,0.0,0,0,0,0,0
202,2,2,4,2995.2053726156646,0,0,0,0,0,0.0,0,0,0,0,0
203,3,3,4,2995.209896618426,0,0,0,1,0,1.069394,0,0,0,0,0
204,4,4,4,2995.118657583548,0,0,0,1,0,1.089877,0,0,0,0,0
205,5,5,4,2994.7324070227883,0,0,0,1,0,1.600912,0,0,0,0,0
206,6,6,4,2994.653763432496,0,0,0,0,0,0.0,0,0,0,0,0
207,7,7,4,2994.700688529959,0,0,0,0,0,0.8,0,0,0,0,0
208,8,8,4,2994.7735243488487,0,0,0,0,0,0.8,0,0,0,0,0
209,9,9,4,2995.090174045962,0,0,0,0,0,0.8,0,0,0,0,0
210,10,10,4,2995.0911219087857,0,0,0,1,0,0.8,0,0,0,0,0
211,11,11,4,2995.0161502371766,0,0,0,1,0,0.8,0,0,0,0,0
212,12,12,4,2994.8061653052305,0,0,0,1,0,0.8,0,0,0,0,0
213,13,13,4,2994.770122816316,0,0,0,1,0,0.8,0,0,0,0,0
214,14,14,4,2994.462759344818,0,0,0,1,0,1.714719,0,0,0,0,0
215,15,15,4,2994.831041388209,0,0,0,1,0,1.293353,0,0,0,0,0
216,16,16,4,2994.7736427180666,0,0,0,1,0,1.52547,0,0,0,0,0
217,17,17,4,2995.0477376717904,0,0,0,1,0,1.697833,0,0,0,0,0
218,18,18,4,2995.039185746542,0,0,0,1,0,1.900264,0,0,0,0,0
219,19,19,4,2995.4044448425666,0,0,0,1,0,1.792191,0,0,0,0,0
220,20,20,4,2995.244415539322,0,0,0,1,0,1.676361,0,0,0,0,0
221,21,21,4,2995.5274465245648,0,0,0,1,0,1.679633,0,0,0,0,0
222,22,22,4,2995.160663009849,0,0,0,1,0,1.945925,0,0,0,0,0
223,23,23,4,2995.289601270307,0,0,0,1,0,1.295824,0,0,0,0,0
224,24,24,4,2995.2566118782456,0,0,0,1,0,1.001112,0,0,0,0,0
225,25,25,4,2995.090876751653,0,0,0,1,0,1.271955,0,0,0,0,0
226,26,26,4,2994.7569939466757,0,0,0,1,0,1.217891,0,0,0,0,0
227,27,27,4,2994.924683394072,0,0,0,1,0,1.661835,0,0,0,0,0
228,28,28,4,2994.998859434053,0,0,0,1,0,1.633712,0,0,0,0,0
229,29,29,4,2994.854593796888,0,0,0,1,0,1.593461,0,0,0,0,0
230,30,30,4,2995.009688155585,0,0,0,1,0,1.016243,0,0,0,0,0
231,31,31,4,2995.027688262212,0,0,0,1,0,1.728778,0,0,0,0,0
232,32,32,4,2994.858175023775,0,0,0,1,0,1.32353,0,0,0,0,0
233,33,33,4,2994.8087594976196,0,0,0,1,0,1.665056,0,0,0,0,0
234,34,34,4,2994.6268346987385,0,0,0,1,0,1.556578,0,0,0,0,0
235,35,35,4,2994.669392040744,0,0,0,1,0,1.342731,0,0,0,0,0
236,36,36,4,2994.97878817523,0,0,0,1,0,1.134576,0,0,0,0,0
237,37,37,4,2995.0619331360567,0,0,0,1,0,1.094419,0,0,0,0,0
238,38,38,4,2995.003986234253,0,0,0,1,0,1.831518,0,0,0,0,0
239,39,39,4,2995.0004358397414,0,0,0,1,0,1.918398,0,0,0,0,0
240,40,40,4,2994.9883979697825,0,0,0,1,0,1.649788,0,0,0,0,0
241,41,41,4,2994.688124076358,0,0,0,1,0,1.103434,0,0,0,0,0
242,42,42,4,2994.8990447353,0,0,0,1,0,1.402027,0,0,0,0,0
243,43,43,4,2994.7534281187227,0,0,0,1,0,1.728939,0,0,0,0,0
244,44,44,4,2994.907305091562,0,0,0,1,0,1.779821,0,0,0,0,0
245,45,45,4,2994.905575250838,0,0,0,1,0,1.118219,0,0,0,0,0
246,46,46,4,2994.908511926723,0,0,0,1,0,1.000031,0,0,0,0,0
247,47,47,4,2994.9107856299643,0,0,0,1,0,1.712137,0,0,0,0,0
248,48,48,4,2994.911349248301,0,0,0,1,0,1.356596,0,0,0,0,0
249,49,49,4,2994.990941588744,0,0,0,1,0,1.254481,0,0,0,0,0
250,0,0,5,2994.814482592213,0,0,0,0,0,0.0,0,0,0,0,0
251,1,1,5,2995.021220291629,0,0,0,0,0,0.0,0,0,0,0,0
252,2,2,5,2994.775840393306,0,0,0,0,0,0.0,0,0,0,0,0
253,3,3,5,2994.82492685556,0,0,0,0,0,0.0,0,0,0,0,0
254,4,4,5,2994.65886054109,0,0,0,0,0,0.0,0,0,0,0,0
255,5,5,5,2994.8948974205814,0,0,0,0,0,0.7,0,0,0,0,0
256,6,6,5,2994.724464358702,0,0,0,0,0,0.8,0,0,0,0,0
257,7,7,5,2995.025876052136,0,0,0,0,0,0.8,0,0,0,0,0
258,8,8,5,2995.2124615381904,0,0,0,0,0,0.8,0,0,0,0,0
259,9,9,5,2995.192155634784,0,0,0,0,0,0.8,0,0,0,0,0
260,10,10,5,2995.138343913016,0,0,0,1,0,0.8,0,0,0,0,0
261,11,11,5,2995.068616967901,0,0,0,1,0,0.8,0,0,0,0,0
262,12,12,5,2994.8725448851837,0,0,0,1,0,0.8,0,0,0,0,0
263,13,13,5,2994.8011454924213,0,0,0,1,0,0.8,0,0,0,0,0
264,14,14,5,2994.9863382650724,0,0,0,1,0,0.8,0,0,0,0,0
265,15,15,5,2994.9906801548323,0,0,0,1,0,0.7,0,0,0,0,0
266,16,16,5,2995.0686094436087,0,0,0,1,0,1.085056,0,0,0,0,0
267,17,17,5,2995.063204583542,0,0,0,1,0,1.548873,0,0,0,0,0
268,18,18,5,2994.819054349621,0,0,0,1,0,1.379979,0,0,0,0,0
269,19,19,5,2994.842894179055,0,0,0,1,0,1.607135,0,0,0,0,0
270,20,20,5,2994.794569430009,0,0,0,1,0,1.388726,0,0,0,0,0
271,21,21,5,2994.9650593374818,0,0,0,1,0,1.240299,0,0,0,0,0
272,22,22,5,2994.9134267676272,0,0,0,1,0,1.094965,0,0,0,0,0
273,23,23,5,2995.002023601201,0,0,0,1,0,1.314918,0,0,0,0,0
274,24,24,5,2994.8481006079314,0,0,0,1,0,1.096645,0,0,0,0,0
275,25,25,5,2994.656842053114,0,0,0,1,0,1.176897,0,0,0,0,0
276,26,26,5,2994.509754949308,0,0,0,1,0,1.987336,0,0,0,0,0
277,27,27,5,2994.7314993687964,0,0,0,1,0,1.444104,0,0,0,0,0
278,28,28,5,2994.960643475642,0,0,0,1,0,1.531872,0,0,0,0,0
279,29,29,5,2995.034244666993,0,0,0,1,0,1.873619,0,0,0,0,0
280,30,30,5,2995.2061483811817,0,0,0,1,0,1.995569,0,0,0,0,0
281,31,31,5,2995.082059079529,0,0,0,1,0,1.582714,0,0,0,0,0
282,32,32,5,2995.112418985156,0,0,0,1,0,1.812474,0,0,0,0,0
283,33,33,5,2994.758703672226,0,0,0,1,0,1.326941,0,0,0,0,0
284,34,34,5,2994.929316378056,0,0,0,1,0,1.305744,0,0,0,0,0
285,35,35,5,2994.9428021994436,0,0,0,1,0,1.3,0,0,0,0,0
286,36,36,5,2995.067246149393,0,0,0,1,0,1.3,0,0,0,0,0
287,37,37,5,2995.085251788297,0,0,0,1,0,1.3,0,0,0,0,0
288,38,38,5,2995.08980410017,0,0,0,1,0,1.3,0,0,0,0,0
289,39,39,5,2994.9444740260337,0,0,0,1,0,1.3,0,0,0,0,0
290,40,40,5,2994.9683605363584,0,0,0,0,0,1.3,0,0,0,0,0
291,41,41,5,2994.919314899413,0,0,0,0,0,1.3,0,0,0,0,0
292,42,42,5,2994.721182498016,0,0,0,1,0,1.3,0,0,0,0,0
293,43,43,5,2994.97233170315,0,0,0,1,0,1.3,0,0,0,0,0
294,44,44,5,2995.0306142239547,0,0,0,1,0,1.3,0,0,0,0,0
295,45,45,5,2994.8113279576373,0,0,0,1,0,1.3,0,0,0,0,0
296,46,46,5,2995.0983411691896,0,0,0,1,0,1.3,0,0,0,0,0
297,47,47,5,2994.992596345606,0,0,0,1,0,1.3,0,0,0,0,0
298,48,48,5,2994.8251229169177,0,0,0,1,0,1.3,0,0,0,0,0
299,49,49,5,2994.6396598164424,0,0,0,1,0,1.3,0,0,0,0,0
300,0,0,6,2994.6545011275807,0,0,0,0,0,0.0,0,0,0,0,0
301,1,1,6,2994.3289806049806,0,0,0,0,0,0.0,0,0,0,0,0
302,2,2,6,2994.657710425201,0,0,0,0,0,0.0,0,0,0,0,0
303,3,3,6,2994.690364946463,0,0,0,0,0,0.0,0,0,0,0,0
304,4,4,6,2994.631096004321,0,0,0,0,0,0.0,0,0,0,0,0
305,5,5,6,2994.65876445417,0,0,0,0,0,0.8,0,0,0,0,0
306,6,6,6,2994.8973275918024,0,0,0,0,0,0.8,0,0,0,0,0
307,7,7,6,2994.844615088238,0,0,0,0,0,0.8,0,0,0,0,0
308,8,8,6,2994.82130931309,0,0,0,0,0,0.8,0,0,0,0,0
309,9,9,6,2994.7835526818885,0,0,0,0,0,0.8,0,0,0,0,0
310,10,10,6,2994.8299921847965,0,0,0,1,0,0.8,0,0,0,0,0
311,11,11,6,2994.564814474047,0,0,0,1,0,0.8,0,0,0,0,0
312,12,12,6,2994.264344983086,0,0,0,1,0,0.8,0,0,0,0,0
313,13,13,6,2994.334167311222,0,0,0,1,0,0.8,0,0,0,0,0
314,14,14,6,2994.4177708546326,0,0,0,1,0,0.8,0,0,0,0,0
315,15,15,6,2994.534913198665,0,0,0,1,0,0.8,0,0,0,0,0
316,16,16,6,2994.6137044236484,0,0,0,1,0,1.617106,0,0,0,0,0
317,17,17,6,2994.948561369438,0,0,0,1,0,1.849959,0,0,0,0,0
318,18,18,6,2995.1383357086697,0,0,0,1,0,1.196246,0,0,0,0,0
319,19,19,6,2995.2730908023286,0,0,0,1,0,1.12555,0,0,0,0,0
320,20,20,6,2995.2084820477135,0,0,0,1,0,1.96348,0,0,0,0,0
321,21,21,6,2995.259543299225,0,0,0,1,0,1.108045,0,0,0,0,0
322,22,22,6,2995.0480692920414,0,0,0,1,0,1.478491,0,0,0,0,0
323,23,23,6,2994.9767234337246,0,0,0,1,0,1.585564,0,0,0,0,0
324,24,24,6,2994.9306565899283,0,0,0,1,0,1.541374,0,0,0,0,0
325,25,25,6,2995.131578971736,0,0,0,1,0,1.086032,0,0,0,0,0
326,26,26,6,2995.356758133294,0,0,0,1,0,1.057027,0,0,0,0,0
327,27,27,6,2995.3263956813876,0,0,0,1,0,1.105483,0,0,0,0,0
328,28,28,6,2995.259641745084,0,0,0,1,0,1.585588,0,0,0,0,0
329,29,29,6,2995.1170087616097,0,0,0,1,0,1.544345,0,0,0,0,0
330,30,30,6,2994.8545044021134,0,0,0,1,0,1.233741,0,0,0,0,0
331,31,31,6,2994.6422527944255,0,0,0,1,0,1.637774,0,0,0,0,0
332,32,32,6,2994.5903554194347,0,0,0,1,0,1.820068,0,0,0,0,0
333,33,33,6,2994.7167018232,0,0,0,1,0,1.041579,0,0,0,0,0
334,34,34,6,2994.7419937108907,0,0,0,1,0,1.49813,0,0,0,0,0
